id,title,url,date,score,matched
70324,Artificial Intelligence—A Game Changer for Climate Change and the Environment,https://news.climate.columbia.edu/2018/06/05/artificial-intelligence-climate-environment/,2018-06-05T08:34:08,90,artificial intelligence; machine learning
107010,AI’s Growing Carbon Footprint,https://news.climate.columbia.edu/2023/06/09/ais-growing-carbon-footprint/,2023-06-09T08:30:16,69,artificial intelligence
126239,The Paradox of AI and Climate,https://news.climate.columbia.edu/2026/05/21/the-paradox-of-ai-and-climate/,2026-05-21T14:45:36,59,artificial intelligence; machine learning
121103,How AI Is Revolutionizing the Recycling Industry,https://news.climate.columbia.edu/2025/06/18/how-ai-is-revolutionizing-the-recycling-industry/,2025-06-18T16:09:39,54,artificial intelligence
98346,Machine Learning Techniques Can Speed Up Glacier Modeling By A Thousand Times,https://news.climate.columbia.edu/2022/03/25/machine-learning-techniques-can-speed-up-glacier-modeling-by-a-thousand-times/,2022-03-25T09:01:47,44,artificial intelligence; machine learning
121301,AI and Climate Justice: Balancing Risk With Opportunity,https://news.climate.columbia.edu/2025/07/02/ai-and-climate-justice-balancing-risk-with-opportunity/,2025-07-02T10:08:50,41,artificial intelligence
119263,Highlights: ‘From Chaos to Code: How AI Can Tame the Climate Crisis’,https://news.climate.columbia.edu/2025/03/11/ai-climate-crisis-event/,2025-03-11T15:16:06,41,artificial intelligence
125064,How Can AI Address Climate Justice When Women’s Voices Are Silenced?,https://news.climate.columbia.edu/2026/02/27/how-can-ai-address-climate-justice-when-womens-voices-are-silenced/,2026-02-27T18:09:53,35,artificial intelligence
108029,"How Ecology Could Inspire Better Artificial Intelligence, and Vice Versa",https://news.climate.columbia.edu/2023/09/11/how-ecology-could-inspire-better-artificial-intelligence-and-vice-versa/,2023-09-11T15:00:54,32,artificial intelligence
122918,Bridging the Gap: How AI Can Help—or Hinder—the SDGs,https://news.climate.columbia.edu/2025/10/08/bridging-the-gap-how-ai-can-help-or-hinder-the-sdgs/,2025-10-08T14:40:56,30,artificial intelligence
115541,Can AI Help Save Our Planet?,https://news.climate.columbia.edu/2024/09/19/can-ai-help-save-our-planet/,2024-09-19T12:53:05,27,artificial intelligence
126360,Columbia’s Energy Tech Conference Spotlights the Race for AI’s Clean Power Future,https://news.climate.columbia.edu/2026/05/20/columbias-energy-tech-conference-spotlights-the-race-for-ais-clean-power-future/,2026-05-20T13:28:01,20,artificial intelligence
114914,Combating Microplastics With AI Real-Time Monitoring,https://news.climate.columbia.edu/2024/08/19/combating-microplastics-with-ai-real-time-monitoring/,2024-08-19T11:34:47,20,artificial intelligence
91757,An Artificial Neural Network Joins the Fight Against Receding Glaciers,https://news.climate.columbia.edu/2021/05/05/artificial-neural-network-joins-fight-against-receding-glaciers/,2021-05-05T08:00:10,20,artificial intelligence; machine learning
105970,A Leap Toward a Sustainable Earth: Q+A with Climate Expert Pierre Gentine,https://news.climate.columbia.edu/2023/04/21/a-leap-toward-a-sustainable-earth-qa-with-climate-expert-pierre-gentine/,2023-04-21T10:17:59,17,artificial intelligence; machine learning
124252,Can Generative AI Help Strengthen Disaster Preparedness and Resilience Among Youth?,https://news.climate.columbia.edu/2025/12/16/proposing-a-genai-chatbot-framework-for-youth-disaster-risk-reduction/,2025-12-16T03:02:00,14,artificial intelligence
103595,How Studying the Clouds Can Improve Climate Models,https://news.climate.columbia.edu/2022/11/23/how-studying-the-clouds-can-improve-climate-models/,2022-11-23T09:34:41,13,machine learning
124924,"Harnessing AI, Scientists Discover a Rise in Floating Algae Across the Global Ocean",https://news.climate.columbia.edu/2026/02/17/harnessing-ai-scientists-discover-a-rise-in-floating-algae-across-the-global-ocean/,2026-02-17T10:00:04,12,artificial intelligence
106886,New Method Predicts Extreme Weather Events More Accurately,https://news.climate.columbia.edu/2023/05/25/new-method-predicts-extreme-weather-events-more-accurately/,2023-05-25T12:25:10,11,artificial intelligence; machine learning
75075,Using Machine Learning to Eradicate the Tsetse Fly in Sub-Saharan Africa,https://news.climate.columbia.edu/2019/02/27/using-machine-learning-eradicate-tsetse-fly-sub-saharan-africa/,2019-02-27T08:30:19,11,machine learning
70716,Machine Learning May Be a Game-Changer for Climate Prediction,https://news.climate.columbia.edu/2018/06/21/machine-learning-may-game-changer-climate-prediction/,2018-06-21T14:13:19,11,artificial intelligence; machine learning
70636,Researchers Develop an Artificial Intelligence to Analyze Birdsong in a Warming Arctic,https://news.climate.columbia.edu/2018/06/20/artificial-intelligence-climate-change-birds/,2018-06-20T14:00:09,11,artificial intelligence
121056,Rethinking Energy Systems in the Age of AI,https://news.climate.columbia.edu/2025/06/10/rethinking-energy-systems-in-the-age-of-ai/,2025-06-10T13:21:28,10,artificial intelligence
94260,Columbia to Launch $25 Million AI-Based Climate Modeling Center,https://news.climate.columbia.edu/2021/09/09/columbia-to-launch-25-million-ai-based-climate-modeling-center/,2021-09-09T15:09:15,10,artificial intelligence
71912,Using Artificial Intelligence To Locate Risky Dams,https://news.climate.columbia.edu/2018/08/23/artificial-intelligence-find-risky-dams/,2018-08-23T08:23:53,10,artificial intelligence
97929,hAIku: AI Generated Poetry,https://news.climate.columbia.edu/2022/04/22/haiku-ai-generated-poetry/,2022-04-22T09:00:44,8,artificial intelligence
93767,"Harnessing Drones, Geophysics and Artificial Intelligence to Root Out Land Mines",https://news.climate.columbia.edu/2021/09/20/harnessing-drones-geophysics-and-artificial-intelligence-to-root-out-land-mines/,2021-09-20T08:04:35,7,artificial intelligence
122216,What Does It Mean for Soil To Be Healthy?,https://news.climate.columbia.edu/2025/09/08/what-does-it-mean-for-soil-to-be-healthy/,2025-09-08T14:05:53,3,machine learning
113630,How Much Carbon Can the Ocean Hold? Lamont Researchers Aim To Find Out,https://news.climate.columbia.edu/2024/06/07/how-much-carbon-can-the-ocean-hold-lamont-researchers-aim-to-find-out/,2024-06-07T09:30:05,3,machine learning
107085,Improving Market Design for Energy Storage,https://news.climate.columbia.edu/2023/06/13/improving-market-design-for-energy-storage/,2023-06-13T09:00:11,2,artificial intelligence
